Stock Price,Strike Price,Maturity,Dividends,Volatility,Risk-free,Call Price
128.2,130.0,0.04406824346591629,0.046799999999999994,0.2932,0.0088,4.0
128.2,131.0,0.04406824346591629,0.046799999999999994,0.2932,0.0088,0.95
128.2,132.0,0.04406824346591629,0.046799999999999994,0.2932,0.0088,1.35
128.2,133.0,0.04406824346591629,0.046799999999999994,0.2932,0.0088,1.5
128.2,134.0,0.04406824346591629,0.046799999999999994,0.2932,0.0088,1.85
128.2,135.0,0.04406824346591629,0.046799999999999994,0.2932,0.0088,0.95
128.2,136.0,0.04406824346591629,0.046799999999999994,0.2932,0.0088,0.6
128.2,140.0,0.04406824346591629,0.046799999999999994,0.2932,0.0088,0.65
128.2,90.0,0.063233198975841,0.046799999999999994,0.2932,0.0088,35.2
128.2,105.0,0.063233198975841,0.046799999999999994,0.2932,0.0088,20.7
